"Target","Policy","Repeat","Status","Iterations","VerifiedResidual","ActualCoarseDim","CoarseMiB","CoarseSetupMs","SolverMs","WallMs","MsPerIter"
"768","factor","1","Converged","2831","9.93372E-09","768","12.719","174.113","57479.19","60112.458","20.303493465206643"
"768","inverse","1","Converged","2831","9.803914E-09","768","12.707","197.624","57716.879","60490.43","20.38745284351819"
"1280","inverse","1","Converged","2503","9.781802E-09","1275","20.617","444.067","50418.371","53390.905","20.143176588094285"
"1280","factor","1","Converged","2503","9.924662E-09","1275","20.637","340.03","52468.199","55277.518","20.962125049940074"
"1792","factor","1","Converged","2328","9.729207E-09","1791","32.723","749.938","50926.367","54262.882","21.875587199312715"
"1792","inverse","1","Converged","2328","9.807393E-09","1791","32.695","977.174","47285.408","50764.37","20.311601374570447"
"2048","inverse","1","Converged","2291","9.785947E-09","2037","39.884","1414.972","47872.159","51837.181","20.895748144914883"
"2048","factor","1","Converged","2291","9.853857E-09","2037","39.915","1013.767","51444.491","54959.818","22.45503753819293"
"2048","factor","2","Converged","2291","9.853857E-09","2037","39.915","1001.488","52163.486","55665.166","22.76887210824967"
"2048","inverse","2","Converged","2291","9.785947E-09","2037","39.884","1383.866","47590.343","51470.328","20.77273810563073"
"1792","inverse","2","Converged","2328","9.807393E-09","1791","32.695","996.058","47040.465","50624.018","20.20638530927835"
"1792","factor","2","Converged","2328","9.729207E-09","1791","32.723","733.304","51702.171","54983.381","22.208836340206187"
"1280","factor","2","Converged","2503","9.924662E-09","1275","20.637","346.427","53502.457","56482.729","21.37533240111866"
"1280","inverse","2","Converged","2503","9.781802E-09","1275","20.617","441.364","51916.822","54917.512","20.741838593687575"
"768","inverse","2","Converged","2831","9.803914E-09","768","12.707","197.361","58225.56","60924.834","20.56713528788414"
"768","factor","2","Converged","2831","9.93372E-09","768","12.719","179.869","58500.289","61217.647","20.664178382197104"
"768","factor","3","Converged","2831","9.93372E-09","768","12.719","180.787","57106.882","59808.477","20.171982338396326"
"768","inverse","3","Converged","2831","9.803914E-09","768","12.707","195.671","56949.452","59690.464","20.116373013069587"
"1280","inverse","3","Converged","2503","9.781802E-09","1275","20.617","441.375","50785.029","53748.512","20.289664003196165"
"1280","factor","3","Converged","2503","9.924662E-09","1275","20.637","347.924","53160.157","56101.029","21.23857650819017"
"1792","factor","3","Converged","2328","9.729207E-09","1791","32.723","740.382","52518.113","55821.515","22.559326890034363"
"1792","inverse","3","Converged","2328","9.807393E-09","1791","32.695","1033.889","47858.401","51446.661","20.55773238831615"
"2048","inverse","3","Converged","2291","9.785947E-09","2037","39.884","1450.735","47163.152","51145.206","20.586273243125273"
"2048","factor","3","Converged","2291","9.853857E-09","2037","39.915","1014.285","52298.474","55862.791","22.827793103448276"
