"Mode","Repeat","TargetCoarseDim","ActualCoarseDim","Status","Iterations","VerifiedResidual","FactorMiB","CoarseMiB","CoarseSetupMs","SolverMs","TotalWallMs","SolverMsPerIteration","StageRatios"
"local-only","0","0","0","MaxIterations","3000","0.07874194","2.288","0","0","45349.029","47943.928","15.116343","1:1.554566e0;2:6.161309e-1;3:4.081226e-2"
"two-level","1","1280","1275","Converged","2503","9.924662E-09","2.222","20.637","342.703","52651.035","55477.998","21.035171793847386","1:2.926965e0;2:6.554930e-1;3:2.567914e-9"
"two-level","1","1536","1533","Converged","2444","9.911248E-09","2.288","26.172","510.187","53693.894","56678.139","21.969678396072013","1:3.104837e0;2:6.502509e-1;3:2.437027e-9"
"two-level","1","1792","1791","Converged","2328","9.729207E-09","2.222","32.723","729.822","51702.024","54927.476","22.208773195876287","1:3.318126e0;2:6.481835e-1;3:2.245535e-9"
"two-level","1","2048","2037","Converged","2291","9.853857E-09","2.288","39.915","1017.728","52925.291","56495.563","23.101392841553906","1:3.388327e0;2:6.113915e-1;3:2.361119e-9"
"two-level","2","2048","2037","Converged","2291","9.853857E-09","2.288","39.915","1015.094","52783.201","56290.707","23.039371890004364","1:3.388327e0;2:6.113915e-1;3:2.361119e-9"
"two-level","2","1792","1791","Converged","2328","9.729207E-09","2.222","32.723","737.255","51829.426","55104.161","22.26349914089347","1:3.318126e0;2:6.481835e-1;3:2.245535e-9"
"two-level","2","1536","1533","Converged","2444","9.911248E-09","2.288","26.172","516.069","52970.863","56047.556","21.673839198036006","1:3.104837e0;2:6.502509e-1;3:2.437027e-9"
"two-level","2","1280","1275","Converged","2503","9.924662E-09","2.222","20.637","353.759","53410.661","56403.273","21.338658010387537","1:2.926965e0;2:6.554930e-1;3:2.567914e-9"
"two-level","3","1280","1275","Converged","2503","9.924662E-09","2.222","20.637","348.388","53316.42","56200.817","21.30100679184978","1:2.926965e0;2:6.554930e-1;3:2.567914e-9"
"two-level","3","1536","1533","Converged","2444","9.911248E-09","2.288","26.172","524.202","53258.585","56334.429","21.79156505728314","1:3.104837e0;2:6.502509e-1;3:2.437027e-9"
"two-level","3","1792","1791","Converged","2328","9.729207E-09","2.222","32.723","726.41","50709.185","53962.925","21.78229596219931","1:3.318126e0;2:6.481835e-1;3:2.245535e-9"
"two-level","3","2048","2037","Converged","2291","9.853857E-09","2.288","39.915","1009.656","52448.392","55966.341","22.893230903535574","1:3.388327e0;2:6.113915e-1;3:2.361119e-9"
