"Repeat","TargetCoarseDim","ActualCoarseDim","EffectiveApply","Status","Iterations","VerifiedResidual","Escalations","LocalRegions","FactorMiB","CoarseMiB","CoarseSetupMs","SolverMs","WallMs","MsPerIter"
"1","512","510","FactorSolve","Converged","1502","9.687436E-09","2","16","1.753","11.106","436.958","28839.108","31651.827","19.200471371504662"
"1","768","765","FactorSolve","Converged","1329","9.878282E-09","2","16","1.753","13.594","438.576","25708.11","28405.387","19.34395033860045"
"1","1024","1017","FactorSolve","Converged","1224","9.917584E-09","2","16","1.753","17.028","518.683","24356.46","27158.589","19.89906862745098"
"1","1152","1149","ExplicitInverse","Converged","1172","9.630717E-09","2","16","1.753","19.196","612.561","22814.785","25665.17","19.46654010238908"
"1","1280","1272","ExplicitInverse","Converged","1151","9.878261E-09","2","16","1.753","21.47","680.599","22337.978","25283.04","19.40745264986968"
"1","1536","1527","ExplicitInverse","Converged","1081","9.621281E-09","2","16","1.753","26.919","905.042","21043.287","24220.822","19.46650046253469"
"1","1792","1785","ExplicitInverse","Converged","1044","9.53269E-09","2","16","1.753","33.442","1211.722","20284.615","23765.577","19.429707854406132"
"1","2048","2028","ExplicitInverse","Converged","1020","9.619574E-09","2","16","1.753","40.515","1601.986","20078.577","23945.488","19.684879411764708"
"2","2048","2028","ExplicitInverse","Converged","1020","9.619574E-09","2","16","1.753","40.515","1611.682","20288.275","24167.481","19.89046568627451"
"2","1792","1785","ExplicitInverse","Converged","1044","9.53269E-09","2","16","1.753","33.442","1230.434","20663.845","24172.862","19.792954980842914"
"2","1536","1527","ExplicitInverse","Converged","1081","9.621281E-09","2","16","1.753","26.919","913.463","21116.336","24330.707","19.534075855689178"
"2","1280","1272","ExplicitInverse","Converged","1151","9.878261E-09","2","16","1.753","21.47","684.855","22387.897","25363.479","19.450822762814944"
"2","1152","1149","ExplicitInverse","Converged","1172","9.630717E-09","2","16","1.753","19.196","600.893","22289.721","25169.408","19.018533276450512"
"2","1024","1017","FactorSolve","Converged","1224","9.917584E-09","2","16","1.753","17.028","481.726","23433.116","26133.096","19.144702614379085"
"2","768","765","FactorSolve","Converged","1329","9.878282E-09","2","16","1.753","13.594","422.773","25155.532","27831.511","18.928165537998495"
"2","512","510","FactorSolve","Converged","1502","9.687436E-09","2","16","1.753","11.106","401.974","28351.62","30999.984","18.875912117177098"
"3","512","510","FactorSolve","Converged","1502","9.687436E-09","2","16","1.753","11.106","389.043","28267.26","30883.726","18.819747003994674"
"3","768","765","FactorSolve","Converged","1329","9.878282E-09","2","16","1.753","13.594","425.851","25223.478","27895.937","18.97929119638826"
"3","1024","1017","FactorSolve","Converged","1224","9.917584E-09","2","16","1.753","17.028","495.889","24648.366","27379.42","20.137553921568628"
"3","1152","1149","ExplicitInverse","Converged","1172","9.630717E-09","2","16","1.753","19.196","615.05","22593.771","25447.755","19.277961604095562"
"3","1280","1272","ExplicitInverse","Converged","1151","9.878261E-09","2","16","1.753","21.47","674.393","22566.441","25477.515","19.605943527367504"
"3","1536","1527","ExplicitInverse","Converged","1081","9.621281E-09","2","16","1.753","26.919","933.527","21141.505","24350.496","19.55735892691952"
"3","1792","1785","ExplicitInverse","Converged","1044","9.53269E-09","2","16","1.753","33.442","1285.091","20365.664","23872.285","19.507340996168583"
"3","2048","2028","ExplicitInverse","Converged","1020","9.619574E-09","2","16","1.753","40.515","1625.861","20358.178","24335.749","19.958998039215686"
