"Repeat","TargetCoarseDim","ActualCoarseDim","EffectiveApply","Status","Iterations","VerifiedResidual","Escalations","LocalRegions","FactorMiB","CoarseMiB","CoarseSetupMs","SolverMs","WallMs","MsPerIter"
"1","512","510","FactorSolve","Converged","1355","9.988555E-09","2","16","1.753","39.436","940.965","25764.302","28927.238","19.014245018450183"
"1","768","765","FactorSolve","Converged","1169","9.729288E-09","2","16","1.753","44.656","1002.423","22350.82","25576.232","19.119606501283148"
"1","1024","1017","FactorSolve","Converged","1065","9.652066E-09","2","16","1.753","50.145","1088.249","20991.533","24285.848","19.710359624413144"
"1","1152","1149","ExplicitInverse","Converged","1033","9.776398E-09","3","24","2.288","53.036","1235.191","19925.031","23688.907","19.288510164569214"
"1","1280","1272","ExplicitInverse","Converged","1002","9.965888E-09","3","24","2.288","56.318","1318.034","19668.507","23491.503","19.629248502994013"
"1","1536","1527","ExplicitInverse","Converged","928","9.888476E-09","3","24","2.288","63.292","1562.056","18137.645","22219.453","19.544876077586206"
"1","1792","1785","ExplicitInverse","Converged","876","9.87822E-09","3","22","2.155","71.37","1884.956","17318.993","21755.454","19.7705399543379"
"1","2048","2028","ExplicitInverse","Converged","846","9.461674E-09","3","21","2.088","80.152","2306.935","16970.167","21837.128","20.059299054373525"
"2","2048","2028","ExplicitInverse","Converged","846","9.461674E-09","3","21","2.088","80.152","2308.023","16854.013","21682.8","19.922001182033096"
"2","1792","1785","ExplicitInverse","Converged","876","9.87822E-09","3","22","2.155","71.37","1888.521","17347.848","21815.084","19.8034794520548"
"2","1536","1527","ExplicitInverse","Converged","928","9.888476E-09","3","24","2.288","63.292","1551.874","18207.885","22305.207","19.620565732758617"
"2","1280","1272","ExplicitInverse","Converged","1002","9.965888E-09","3","24","2.288","56.318","1309.379","19459.703","23295.624","19.420861277445113"
"2","1152","1149","ExplicitInverse","Converged","1033","9.776398E-09","3","24","2.288","53.036","1212.303","19990.263","23753.662","19.351658276863503"
"2","1024","1017","FactorSolve","Converged","1065","9.652066E-09","2","16","1.753","50.145","1104.146","21266.381","24645.725","19.968432863849767"
"2","768","765","FactorSolve","Converged","1169","9.729288E-09","2","16","1.753","44.656","1001.233","22791.354","26066.612","19.49645337895637"
"2","512","510","FactorSolve","Converged","1355","9.988555E-09","2","16","1.753","39.436","949.391","25900.176","29145.251","19.11452103321033"
"3","512","510","FactorSolve","Converged","1355","9.988555E-09","2","16","1.753","39.436","943.068","25885.593","29118.762","19.103758671586718"
"3","768","765","FactorSolve","Converged","1169","9.729288E-09","2","16","1.753","44.656","1016.467","22711.271","26026.838","19.427947818648416"
"3","1024","1017","FactorSolve","Converged","1065","9.652066E-09","2","16","1.753","50.145","1113.391","21274.342","24638.232","19.975907981220658"
"3","1152","1149","ExplicitInverse","Converged","1033","9.776398E-09","3","24","2.288","53.036","1220.89","20414.16","24180.217","19.762013552758955"
"3","1280","1272","ExplicitInverse","Converged","1002","9.965888E-09","3","24","2.288","56.318","1344.721","19630.288","23533.434","19.591105788423153"
"3","1536","1527","ExplicitInverse","Converged","928","9.888476E-09","3","24","2.288","63.292","1564.612","18000.178","22036.342","19.39674353448276"
"3","1792","1785","ExplicitInverse","Converged","876","9.87822E-09","3","22","2.155","71.37","1905.694","17274.49","21673.636","19.719737442922376"
"3","2048","2028","ExplicitInverse","Converged","846","9.461674E-09","3","21","2.088","80.152","2334.558","17058.14","21918.696","20.163286052009454"
